客户ID,交易日期,产品类别,销售额,客户评分,地区,交易状态,利润
CUST01000,2023-11-24,Books,269.36,1.0,North,Pending,89.98
CUST01001,2023-02-27,Books,125.72,3.0,Central,Completed,44.07
CUST01002,2023-01-13,Electronics,322.86,2.0,South,Completed,44.51
CUST01003,2023-05-21,Electronics,923.01,5.0,Central,Completed,295.87
CUST01004,2023-05-06,Clothing,112.06,2.0,Central,Completed,35.55
CUST01005,2023-04-25,Electronics,112.06,4.0,South,Completed,28.03
CUST01006,2023-03-13,Electronics,987.38,1.0,West,Completed,163.29
CUST01007,2023-02-22,Home,372.76,3.0,South,Failed,116.77
CUST01008,2023-12-13,Books,84.49,4.0,South,Completed,24.05
CUST01009,2023-10-07,Clothing,284.6,1.0,North,Pending,97.5
CUST01010,2023-02-14,Food,85.11,1.0,West,Pending,29.6
CUST01011,2023-10-30,Clothing,848.7,,South,Completed,9.66
CUST01012,2023-08-05,Home,198.41,1.0,East,Pending,49.01
CUST01013,2023-01-17,Clothing,14.94,2.0,west,Completed,3.54
CUST01014,2023-01-16,Electronics,18.73,2.0,Central,Completed,4.22
CUST01015,2023-02-17,Electronics,75.58,3.0,South,Pending,16.43
CUST01016,2023-04-22,Food,44.02,1.0,North,Completed,15.92
CUST01017,2023-04-30,Electronics,216.39,5.0,Central,Failed,27.48
CUST01018,2023-09-16,Food,49.92,,South,Pending,13.58
CUST01019,2023-11-05,Books,27.25,5.0,East,Completed,9.06
CUST01020,2023-01-14,Clothing,861.59,1.0,central,Failed,282.36
CUST01021,2023-10-15,Electronics,113.19,2.0,North,Completed,40.81
CUST01022,2023-04-12,Home,160.94,4.0,East,Completed,28.43
CUST01023,2023-11-29,Clothing,26.85,4.0,South,Completed,9.31
CUST01024,2023-12-26,Electronics,77.23,2.0,West,Failed,19.99
CUST01025,2023-10-07,Electronics,169.54,4.0,East,Completed,49.03
CUST01026,2023-08-03,Electronics,37.29,4.0,Central,Completed,7.48
CUST01027,2023-04-23,Food,232.95,5.0,North,Pending,45.78
CUST01028,2023-08-18,Books,72.19,4.0,Central,Completed,13.46
CUST01029,2023-10-29,Clothing,104.58,3.0,North,Completed,19.97
CUST01030,2023-05-23,Electronics,72.09,1.0,North,Completed,26.83
CUST01031,2023-01-04,Clothing,1370.23,5.0,East,Completed,306.22
CUST01032,2023-03-23,Home,146.03,,East,Completed,24.23
CUST01033,2023-12-24,Clothing,41.71,1.0,Central,Completed,9.96
CUST01034,2023-08-05,Home,398.24,5.0,West,Completed,104.9
CUST01035,2023-06-24,Books,34.29,5.0,Central,Completed,6.49
CUST01036,2023-05-23,Electronics,190.69,5.0,West,Completed,34.53
CUST01037,2023-03-21,Food,14.13,,North,Pending,2.6
CUST01038,2023-04-21,Food,30.15,5.0,East,Completed,6.49
CUST01039,2023-06-22,Clothing,187.96,,Central,Failed,45.76
CUST01040,2023-02-22,Electronics,360.02,4.0,Central,Pending,89.79
CUST01041,2023-02-17,Food,182.3,5.0,west,Completed,39.72
CUST01042,2023-07-14,Electronics,1291.8000000000002,5.0,west,Pending,23.79
CUST01043,2023-02-19,Clothing,103.41,,North,Completed,22.09
CUST01044,2023-07-03,Clothing,251.70000000000002,,Central,Completed,10.43
CUST01045,2023-06-26,Home,62.56,5.0,East,Pending,10.79
CUST01046,2023-11-06,Books,85.39,3.0,West,Completed,16.18
CUST01047,2023-05-16,Electronics,527.71,3.0,South,Completed,179.82
CUST01048,2023-01-23,Clothing,224.16,4.0,West,Pending,100.11
CUST01049,2023-08-24,Electronics,17.89,3.0,East,Pending,3.19
CUST01050,2023-10-02,Home,218.96,1.0,North,Completed,45.23
CUST01051,2023-03-05,Books,93.49,,West,Failed,10.55
CUST01052,2023-07-13,Electronics,658.7,5.0,south,Failed,7.03
CUST01053,2023-02-10,Food,309.21,1.0,West,Pending,125.03
CUST01054,2023-10-10,Food,511.42,5.0,North,Completed,140.15
CUST01055,2023-05-31,Electronics,453.75,3.0,East,Completed,42.99
CUST01056,2023-11-18,Books,54.21,2.0,East,Completed,12.36
CUST01057,2023-11-13,Clothing,102.41,2.0,Central,Completed,35.95
CUST01058,2023-07-05,Books,220.86,5.0,South,Completed,66.96
CUST01059,2023-10-23,Clothing,478.5,5.0,South,Failed,57.04
CUST01060,2023-04-09,Electronics,835.1,5.0,West,Failed,24.51
CUST01061,2023-12-27,Clothing,118.77,,West,Pending,19.43
CUST01062,2023-02-05,Electronics,39.35,3.0,South,Pending,12.63
CUST01063,2023-01-24,Home,35.32,1.0,east,Refunded,6.3
CUST01064,2023-12-05,Books,393.48,2.0,West,Completed,91.88
CUST01065,2023-04-27,Books,755.58,1.0,East,Pending,239.53
CUST01066,2023-05-29,Clothing,136.13,2.0,West,Completed,33.91
CUST01067,2023-02-10,Electronics,494.84,5.0,Central,Completed,96.94
CUST01068,2023-04-30,Books,229.06,3.0,West,Completed,53.81
CUST01069,2023-02-21,Home,68.43,3.0,West,Completed,9.57
CUST01070,2023-07-14,Electronics,228.99,3.0,South,Pending,32.84
CUST01071,2023-05-23,Clothing,939.78,1.0,West,Completed,244.88
CUST01072,2023-08-21,Electronics,142.17,,West,Completed,15.84
CUST01073,2023-11-22,Books,970.27,3.0,North,Completed,222.3
CUST01074,2023-07-06,Books,6.4,,Central,Completed,1.53
CUST01075,2023-03-25,Electronics,397.93,2.0,South,Completed,77.96
CUST01076,2023-07-09,Clothing,164.75,3.0,South,Pending,28.05
CUST01077,2023-07-01,Clothing,103.67,4.0,Central,Completed,30.74
